Name,Description,Rating
Batman: The Animated Series,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,9
Samurai Jack,"A samurai, sent through time, fights to return home and save the world.",8.5
Avatar: The Last Airbender,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",9.3
Total Drama Island,Animated satire of survivor reality shows featuring random teenage archetypes vying for the final prize by any means necessary.,7.4
Scooby-Doo! Mystery Incorporated,"This incarnation finds Scooby and the gang living in Crystal Cove, a small town with a long history of ghost sightings, monster tales and other mysteries ripe for the sleuths to solve once and for all.",8.1
Justice League,Seven of the most formidable heroes form arguably the most powerful team ever.,8.6
The Avengers: Earth's Mightiest Heroes,"After 74 villains break out of prison, Marvel's most powerful superheroes team up to capture all of them, and also to defend the Earth from widespread threats.",8.3
Batman Beyond,"Fuelled by remorse and vengeance, a high schooler named Terry McGinnis revives the role of Batman. Under supervision of an elderly Bruce Wayne, he fights crime in a harsh, futuristic Gotham.",8.1
Teenage Mutant Ninja Turtles,"Four ninja turtles, mutated by a mysterious alien substance, must rise up out of the sewers and defend New York City against evil forces from both the past and present.",7.9
Teen Titans,A team of five teenaged superheroes save the world from many villains around their city while experiencing things normal teens face today.,7.9
Ben 10,"The story of Ben Tennyson, a typical kid who becomes very atypical after he discovers the Omnitrix, a mysterious alien device with the power to transform the wearer into ten different alien species.",7.5
Generator Rex,"In a future where humans are infected by untested, microscopic robots, a young man with the ability to control the bots helps a government agency control the tech's vicious creations.",7.6
Trollhunters,"An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls.",8.4
Gargoyles,A clan of heroic night creatures pledge to protect modern New York City as they did in Scotland one thousand years earlier.,8
"Roswell Conspiracies: Aliens, Myths & Legends","Welcome to a tangled web of secrets and deception...The story of allied intelligence agents who've discovered extraterrestrial beings on Earth, thriving here for centuries through the ...                See full summary »",7.5
The Legend of Korra,Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.,8.3
Voltron: Legendary Defender,Five teenagers become the last line of defense for the galaxy in an intergalactic battle against the evil alien force led by King Zarkon.,8.1
The Spectacular Spider-Man,"An animated television show that focuses on a sixteen-year-old Peter Parker, and the origins of Spider-Man.",8.4
Megas XLR,Two teenage slackers find a mecha from the future that had been lying in a New Jersey junkyard for nearly 60 years and make modifications much to the dismay of the robot's attractive creator.,8.2
Sym-Bionic Titan,"Three young alien beings with the ability to form a giant robotic warrior attempt to blend into suburbia, all while battling the tyrannical forces that ravaged their home world.",8.1
Gravity Falls,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.",8.9
Star Wars: The Clone Wars,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,8.4
Star Wars Rebels,A brave and clever ragtag starship crew stands up against the evil Empire as it tightens its grip on the galaxy and hunts down the last of the Jedi Knights.,8.1
Kim Possible,A high school cheerleader and her clumsy best friend balance their duties as global crime-fighters with the typical challenges of adolescence.,7.2
Codename: Kids Next Door,The adventures of a group of ten-year-old friends who fight for the right to do everything that adults restrict from them.,7.2
Danny Phantom,A 14-year-old receives ghost powers and uses them to save the world.,7.2
The Dragon Prince,"Two human princes forge an unlikely bond with the elfin assassin sent to kill them, embarking on an epic quest to bring peace to their warring lands.",8.3
Futurama,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.",8.5
