英語,日本語
"the 102nd head priest, Nikko TOSHIDA",102世吉田日厚貫首
"15th January: Seijin-sai (Adult Festival), the New Year Festival",1月15日：成人祭、新年祭
3rd January: Prayer Festival for the prosperity of family fortunes and business,1月3日：家運隆盛、商売繁盛祈願祭
7th January: Nanakusa-gayu shinji (a divine service for a rice porridge with seven spring herbs to insure health for the new year),1月7日：七種粥神事
The 21st Century Center Of Excellence Program,21世紀COEプログラム
"21-seiki Shutsujin Bento (21st century ""kick-off"" lunch box)",21世紀出陣弁当
15th February: Hatsuu-sai or The Rite of the First Rabbit Calendar Day,2月15日：初卯祭
the Second Shogun Yoshiakira ASHIKAGA,2代将軍足利義詮
the 305th chief priest Nichigan NAKAMURA,305世中村日玄貫首
the 32nd priestly Imperial Prince Saihan,32世済範入道親王
17th-21st March: Spring Thanksgiving Festival,3月17日～21日：春の感謝祭
the 400th anniversary of the death,400年遠忌
45th Generation Headmaster Ikenobo Sen'ei,45世 池坊専永宗匠
Buddhist memorial service after 49 days of one's death,49日法要
29th April: Tenchosetsu-sai or the Birth-day of Emperor Showa,4月29日：天長節祭
"Yamatono Sukuneno Mikoto, the fourth generation of a chief prist of the temple",4代目の倭宿禰命
Buddhist memorial service of the fiftieth death anniversary,50回忌法要
celebration of age 50,50歳の賀
4th May: Shobu-sai (matsuri) or the Iris Festival,5月4日：菖蒲祭
six hundred times of Enki Hoyo(Buddhist annual memorial service),600回遠忌法要
"the 65th Kanshu, Nanjo Nichiji",65世南條日慈貫首
30th June: Oharai-shiki or the great purification rite,6月30日：大祓式
Kengon the sixth,6世顕厳
Shingon the seventh (1151-1236),7世親厳（1151 - 1236）
Yaoi-Chan,801ちゃん
the 83rd chief priest Chogaku Nissen,83世頂岳日選貫首
7th-10th August: Wakamiya Hachiman-gu Shrine Taisai (Great Festival),8月7日～10日：若宮八幡宮大祭
Autumnal Equinox Day in September: Autumn Festival,9月秋分の日：秋季祭
ABC Cooking Studio,ABCクッキングスタジオ
"Osaka Bureau, Japan Ad Council",AC大阪事務局
ALGO,ALGO
automated (automatic) teller machine,ATM
automatic train stop (system),ATS
AU shop Hanazonobashi shop,Au (携帯電話)ショップ花園橋店
class-A war criminals,A級戦犯
a Group,a系
B.W. Clarke,B.W.クラーク
BiVi Nijo,BiVi二条
B Train Shorty,Bトレインショーティー
b Group,b系
cafe Hokuto,cafe北都
CM (commercial message),ＣＭ
COCON KARASUMA,COCON KARASUMA
CSK Holdings,CSKホールディングス
Charles. S. Eby,CSイビー
D. C. Greene,D.C.グリーン
D. L. Moody,D.L.ムーディー
D-egg,D-egg
DELPA Daigo,DELPA醍醐
"DOWA Holdings Co., Ltd.",DOWAホールディングス
DRC House,DRCハウス
"ETC, electronic toll collection",ETC
EU Research Center,EU研究センター
EU Information Center,EU資料センター
FAZ (foreign access zone),FAZ(輸入促進地域)
FIFA World Cup,FIFAワールドカップ
GHQ (General Headquarters of the Allied Forces),GHQ
"Civil Information and Education Section, GHQ/SCAP",GHQ民間情報教育局
General Section of GHQ (General Headquarters of the Allied Forces),GHQ民生局
GK Kyoto,GK Kyoto
HT mark (Hanshin Tigers' mark),HTマーク
Ho Chi Minh City University of Foreign Languages – Information Technology,HUFLIT
ICOCA contactless IC fare card system (ICOCA),ICOCA
"Iwate Galaxy Railway Co.,Ltd. (IGR)",IGRいわて銀河鉄道
International Labour Organization,ILO（国際労働機関）
ITF group tae kwon do player,ITF系テコンドー家
IT outsourcing business,ITアウトソーシング業
J.O. Studio,J.Oスタヂオ
J. Lebret,J・レブレット
"JAL Hotels Co.,Ltd.",JALホテルズ
JR,JR
JR/Marunouchi Line,JR/丸の内線
JR Bus,JRバス
"JR Bus, Makinoo bus stop",ＪＲバス槙尾
JR Uji Station,JR宇治駅
JR Enmachi Station,JR円町駅
JR Kamo station,JR加茂駅
JR Kansai Main Line,JR関西本線
JR Kameoka Station,JR亀岡駅
JR Miyazu Line,JR宮津線
JR Kyoto Station,JR京都駅
Hachijo Exit of JR Kyoto Station,ＪＲ京都駅八条口
JR Kyoto Line,JR京都線
JR Kyoto Line Yamazaki Station,JR京都線 山崎駅
JR Kyoto Line (Tokaido Main Line),JR京都線（東海道本線）
Kyushu Railway Company (JR-Kyushu),JR九州 (九州旅客鉄道)
JR Katsuragawa Station,JR桂駅 (桂川駅)
JR Mukomachi Station,JR向日町駅
JR Sagano Line,JR嵯峨野線
JR Miyamaki Station,JR三山木駅
JR Sanin Main Line,JR山陰本線
JR (Shikoku) Limited Express Series 8000,JR四国8000系電車
JR Hosono Station,JR祝園駅
JR Ogura Station,JR小倉駅
JR Obama Line,JR小浜線
JR Joyo Station,JR城陽駅
JR Kobe Line,JR神戸線
JR West (West Japan Railway Company),JR西日本
JR West Suburban Trains Series 125,JR西日本125系電車
JR West Limited Express Series 281,JR西日本281系電車
JR West/Hokuetsu Exp. Limited Express Series 683,JR西日本683系電車
JR West Diesel Cars Series Kiha 120,JR西日本キハ120形気動車
